id,month,year,region,population,pulmonary_tuberculosis,other_tuberculosis,typhoid,diptheria_and_croup,diptheria,croup,scarlet_fever,measles,whooping_cough,pneumonia,diarrhea_and_enteritis,diarrhea_under_five,cerebro_spinal_fever,polio,influenza,septicemia,cancer,external_causes,violence,smallpox
119,11,1918,class_3_cities,320018,29,9,11,13,...,...,0,0,1,170,12,...,0,0,260,3,22,35,...,0
120,11,1918,class_4_cities,165854,14,1,4,4,...,...,0,0,0,40,0,...,0,0,157,0,12,10,...,0
121,11,1918,class_5_cities,135780,12,3,2,1,...,...,1,0,0,52,6,...,0,0,91,2,16,14,...,0
122,12,1918,indiana,2911665,289,27,29,39,...,...,5,2,7,917,40,...,2,5,1917,20,187,158,...,2
123,12,1918,northern_counties,1016514,74,8,9,16,...,...,1,1,1,298,21,...,1,1,721,6,66,63,...,1
124,12,1918,central_counties,1208708,131,9,12,21,...,...,2,0,2,422,14,...,1,4,785,10,79,76,...,1
125,12,1918,southern_counties,686443,84,10,8,2,...,...,2,1,4,198,5,...,0,0,411,4,42,19,...,0
126,12,1918,urban,1210486,135,10,7,23,...,...,3,1,2,518,26,...,0,2,921,11,94,99,...,1
127,12,1918,rural,1701179,154,17,22,16,...,...,2,1,5,399,14,...,2,3,996,9,93,59,...,1
128,12,1918,class_1_cities,289577,38,2,0,7,...,...,0,0,0,158,7,...,0,0,89,1,20,26,...,0
129,12,1918,class_2_cities,299257,31,4,2,2,...,...,0,0,0,104,3,...,0,2,211,3,17,25,...,0
130,12,1918,class_3_cities,320018,24,2,4,12,...,...,1,0,2,159,12,...,0,0,282,4,23,35,...,0
131,12,1918,class_4_cities,165854,21,2,1,2,...,...,2,0,0,65,1,...,0,0,203,3,16,7,...,0
132,12,1918,class_5_cities,135780,21,0,0,0,...,...,0,1,0,32,3,...,0,0,136,0,18,6,...,1
133,1,1919,indiana,2911665,295,39,12,37,...,...,7,5,2,510,48,...,1,2,888,14,201,161,...,1
134,1,1919,northern_counties,1016514,72,11,6,16,...,...,6,3,1,171,23,...,1,1,309,6,27,72,...,0
135,1,1919,central_counties,1208708,131,17,4,15,...,...,1,0,0,231,15,...,0,1,341,6,93,71,...,1
136,1,1919,southern_counties,686443,92,11,2,6,...,...,0,2,1,108,10,...,0,0,238,2,38,18,...,0
137,1,1919,urban,1210486,133,22,6,26,...,...,4,3,2,261,28,...,1,2,317,9,93,90,...,0
138,1,1919,rural,1701179,162,17,6,11,...,...,3,2,0,249,20,...,0,0,571,5,108,71,...,1
139,1,1919,class_1_cities,289577,34,7,1,9,...,...,0,0,0,80,7,...,0,0,63,2,28,24,...,0
140,1,1919,class_2_cities,299257,38,9,2,7,...,...,0,2,1,51,4,...,1,0,67,2,24,21,...,0
141,1,1919,class_3_cities,320018,32,1,2,6,...,...,2,1,0,61,14,...,0,2,70,4,21,31,...,0
142,1,1919,class_4_cities,165854,14,0,1,1,...,...,2,0,1,35,2,...,0,0,51,0,8,11,...,0
143,1,1919,class_5_cities,135780,15,5,0,3,...,...,0,0,0,34,1,...,0,0,66,1,12,3,...,0
144,2,1919,indiana,2911665,264,37,20,25,...,...,10,6,5,451,43,...,4,2,519,19,183,143,...,0
145,2,1919,northern_counties,1016514,65,11,10,9,...,...,6,4,1,150,20,...,0,1,163,5,64,59,...,0
146,2,1919,central_counties,1208708,124,15,3,10,...,...,3,0,1,201,19,...,4,1,230,6,88,62,...,0
147,2,1919,southern_counties,686443,75,11,7,6,...,...,1,2,3,100,4,...,0,0,156,8,31,22,...,0
148,2,1919,urban,1210486,121,15,8,16,...,...,4,3,1,247,26,...,2,1,223,13,87,80,...,0
149,2,1919,rural,1701179,143,22,12,9,...,...,6,3,4,204,17,...,2,1,296,6,96,63,...,0
150,2,1919,class_1_cities,289577,38,6,0,8,...,...,0,0,0,75,9,...,2,1,56,3,19,16,...,0
151,2,1919,class_2_cities,299257,26,2,3,2,...,...,0,2,1,76,7,...,0,0,79,2,23,20,...,0
152,2,1919,class_3_cities,320018,28,4,3,3,...,...,4,0,0,51,7,...,0,0,37,5,24,26,...,0
153,2,1919,class_4_cities,165854,17,1,0,3,...,...,0,1,0,30,0,...,0,0,22,3,8,7,...,0
154,2,1919,class_5_cities,135780,12,2,2,0,...,...,0,0,0,15,3,...,0,0,29,0,13,11,...,0
155,3,1919,indiana,2948088,270,41,21,34,...,...,14,14,17,808,46,...,3,1,921,21,200,160,...,1
156,3,1919,northern_counties,1042514,68,12,12,10,...,...,10,8,5,267,24,...,2,0,266,9,74,69,...,0
157,3,1919,central_counties,1219131,126,22,4,16,...,...,2,2,3,368,13,...,1,1,428,9,86,70,...,0
158,3,1919,southern_counties,686443,76,7,5,8,...,...,2,4,9,173,9,...,0,0,227,3,40,21,...,1
159,3,1919,urban,1246909,121,18,11,15,...,...,8,6,5,403,28,...,1,1,390,10,96,89,...,0
160,3,1919,rural,1701179,149,23,10,19,...,...,6,8,12,405,18,...,2,0,531,11,104,71,...,1
161,3,1919,class_1_cities,300000,31,8,0,5,...,...,0,0,0,131,8,...,0,0,102,4,21,17,...,0
162,3,1919,class_2_cities,355257,31,4,3,4,...,...,4,6,1,86,6,...,0,1,93,1,24,26,...,0
163,3,1919,class_3_cities,290018,27,4,4,5,...,...,3,1,2,124,10,...,0,0,114,5,21,28,...,0
164,3,1919,class_4_cities,165854,14,0,2,0,...,...,1,0,2,37,3,...,0,0,51,0,16,10,...,0
165,3,1919,class_5_cities,135780,18,2,2,1,...,...,0,0,0,25,1,...,1,0,30,1,14,8,...,0
166,4,1919,indiana,2948088,263,36,16,21,...,...,7,13,4,416,39,...,1,2,258,16,187,170,...,0
167,4,1919,northern_counties,1042514,86,7,13,12,...,...,3,7,0,166,12,...,0,1,105,5,75,82,...,0
168,4,1919,central_counties,1219131,110,15,2,6,...,...,4,6,0,188,14,...,1,1,106,5,82,62,...,0
169,4,1919,southern_counties,686443,67,14,1,3,...,...,0,0,4,64,13,...,0,0,47,6,30,26,...,0
170,4,1919,urban,1246909,127,21,12,9,...,...,4,9,0,191,19,...,0,2,106,7,94,94,...,0
171,4,1919,rural,1701179,136,15,4,12,...,...,3,4,4,225,20,...,1,0,152,9,93,76,...,0
