Month,Year,Region,Population,Births,"Total Deaths",Tuberculosis,"Pulmonary Tuberculosis","Other Forms, Tuberculosis","Typhoid Fever","Diptheria and Croup",Diptheria,Croup,"Scarlet Fever",Measles,"Whooping Cough",Pneumonia,"Diarrhea and Enteritis, Under 2 Years","Diarrheal Diseases, Under 5 Years",Meningitis,Poliomyelitis,Influenza,Puerperal,Cancer,"External Causes",Violence,Accidental,Suicide,Homicidal,Smallpox,Syphilis,"Heart Disease",Apoplexy,"Bright's Disease",Diabetes,Goiter
July,1903,"Cities, class 3",218623,...,294,...,30,8,5,...,1,1,1,0,0,12,...,34,3,...,0,5,10,...,18,...,...,...,0,...,...,...,...,...,...
July,1903,"Cities, class 4",161751,...,225,...,33,5,11,...,0,0,1,2,2,5,...,15,4,...,0,1,12,...,18,...,...,...,3,...,...,...,...,...,...
July,1903,"Cities, class 5",131508,...,138,...,18,5,2,...,1,0,1,0,0,1,...,17,2,...,0,0,5,...,8,...,...,...,0,...,...,...,...,...,...
August,1903,"Indiana (statewide)",2516462,...,2933,...,259,48,108,...,21,1,8,3,10,79,...,451,37,...,10,9,124,...,165,...,...,...,12,...,...,...,...,...,...
August,1903,"Northern counties",839835,...,988,...,76,12,30,...,9,0,3,3,5,22,...,176,12,...,5,6,41,...,63,...,...,...,1,...,...,...,...,...,...
August,1903,"Central counties",1024791,...,1240,...,114,22,38,...,8,1,1,0,2,40,...,190,18,...,5,3,50,...,58,...,...,...,2,...,...,...,...,...,...
August,1903,"Southern counties",651836,...,705,...,69,14,40,...,4,0,4,0,3,17,...,85,7,...,0,0,33,...,44,...,...,...,9,...,...,...,...,...,...
August,1903,Urban,857840,...,1266,...,100,23,41,...,11,0,2,1,6,37,...,186,17,...,3,6,47,...,77,...,...,...,10,...,...,...,...,...,...
August,1903,Rural,1658622,...,1667,...,159,25,67,...,10,1,6,2,4,42,...,265,20,...,7,3,77,...,88,...,...,...,2,...,...,...,...,...,...
August,1903,"Cities, class 1",228171,...,330,...,32,8,12,...,1,0,0,0,0,16,...,39,2,...,0,1,12,...,26,...,...,...,0,...,...,...,...,...,...
August,1903,"Cities, class 2",117787,...,180,...,15,4,3,...,1,0,0,0,2,4,...,28,5,...,0,2,7,...,14,...,...,...,0,...,...,...,...,...,...
August,1903,"Cities, class 3",218623,...,349,...,23,4,14,...,4,0,1,1,1,12,...,52,3,...,1,2,12,...,19,...,...,...,1,...,...,...,...,...,...
August,1903,"Cities, class 4",161751,...,234,...,17,5,8,...,4,0,0,0,1,4,...,39,4,...,0,1,9,...,14,...,...,...,8,...,...,...,...,...,...
August,1903,"Cities, class 5",131508,...,173,...,13,2,4,...,1,0,1,0,2,1,...,28,3,...,2,0,7,...,4,...,...,...,1,...,...,...,...,...,...
September,1903,"Indiana (statewide)",2516462,...,2766,...,307,40,166,...,35,3,15,6,5,110,...,265,32,...,3,12,92,...,184,...,...,...,2,...,...,...,...,...,...
September,1903,"Northern counties",839835,...,905,...,78,14,41,...,10,0,5,2,3,32,...,117,10,...,3,4,26,...,59,...,...,...,0,...,...,...,...,...,...
September,1903,"Central counties",1024791,...,1188,...,136,14,77,...,9,1,6,4,1,58,...,105,12,...,0,2,44,...,84,...,...,...,0,...,...,...,...,...,...
September,1903,"Southern counties",651836,...,673,...,93,12,48,...,16,2,4,0,1,20,...,43,10,...,0,6,22,...,41,...,...,...,2,...,...,...,...,...,...
September,1903,Urban,857840,...,1158,...,114,16,59,...,19,2,5,0,3,51,...,101,18,...,1,7,39,...,97,...,...,...,1,...,...,...,...,...,...
September,1903,Rural,1658622,...,1608,...,193,24,107,...,16,1,10,6,2,59,...,164,14,...,2,5,53,...,87,...,...,...,1,...,...,...,...,...,...
September,1903,"Cities, class 1",228171,...,308,...,40,3,23,...,3,0,1,0,0,22,...,19,4,...,0,1,12,...,26,...,...,...,0,...,...,...,...,...,...
September,1903,"Cities, class 2",117787,...,156,...,10,2,8,...,4,0,3,0,0,8,...,14,3,...,0,1,3,...,11,...,...,...,0,...,...,...,...,...,...
September,1903,"Cities, class 3",218623,...,308,...,29,5,16,...,10,1,0,0,1,10,...,28,5,...,1,0,8,...,28,...,...,...,0,...,...,...,...,...,...
September,1903,"Cities, class 4",161751,...,205,...,18,4,4,...,2,0,0,0,1,4,...,16,4,...,0,3,8,...,14,...,...,...,1,...,...,...,...,...,...
September,1903,"Cities, class 5",131508,...,181,...,17,2,8,...,0,1,1,0,1,7,...,24,2,...,0,2,8,...,18,...,...,...,0,...,...,...,...,...,...
October,1903,"Indiana (statewide)",2516462,...,2572,...,256,41,160,...,63,6,12,5,8,132,...,135,25,...,8,10,105,...,146,...,...,...,1,...,...,...,...,...,...
October,1903,"Northern counties",839835,...,864,...,83,13,50,...,27,3,2,2,1,44,...,52,13,...,0,1,34,...,46,...,...,...,0,...,...,...,...,...,...
October,1903,"Central counties",1024791,...,1064,...,99,23,64,...,14,2,4,2,5,65,...,46,9,...,7,3,41,...,68,...,...,...,0,...,...,...,...,...,...
October,1903,"Southern counties",651836,...,644,...,74,5,46,...,22,1,6,1,2,23,...,37,3,...,1,6,30,...,32,...,...,...,1,...,...,...,...,...,...
October,1903,Urban,857840,...,1120,...,112,22,59,...,35,2,7,0,2,68,...,60,15,...,5,2,47,...,78,...,...,...,0,...,...,...,...,...,...
October,1903,Rural,1658622,...,1452,...,144,19,101,...,28,4,5,5,6,64,...,75,10,...,3,8,58,...,68,...,...,...,1,...,...,...,...,...,...
October,1903,"Cities, class 1",228171,...,290,...,41,5,15,...,4,0,1,0,1,18,...,14,0,...,1,0,11,...,27,...,...,...,0,...,...,...,...,...,...
October,1903,"Cities, class 2",117787,...,178,...,11,2,7,...,10,0,2,0,0,9,...,7,4,...,0,0,9,...,11,...,...,...,0,...,...,...,...,...,...
October,1903,"Cities, class 3",218623,...,292,...,30,5,14,...,17,1,0,0,0,21,...,15,5,...,1,1,12,...,21,...,...,...,0,...,...,...,...,...,...
October,1903,"Cities, class 4",161751,...,189,...,13,7,13,...,1,0,0,0,1,10,...,19,6,...,3,1,9,...,9,...,...,...,0,...,...,...,...,...,...
October,1903,"Cities, class 5",131508,...,171,...,17,3,10,...,3,1,4,0,0,10,...,5,0,...,0,0,6,...,10,...,...,...,0,...,...,...,...,...,...
November,1903,"Indiana (statewide)",2516462,...,2518,...,279,38,105,...,68,4,18,6,6,241,...,35,20,...,11,11,94,...,163,...,...,...,1,...,...,...,...,...,...
November,1903,"Northern counties",839835,...,814,...,74,14,36,...,16,1,11,2,3,79,...,7,10,...,4,5,23,...,57,...,...,...,0,...,...,...,...,...,...
November,1903,"Central counties",1024791,...,1065,...,109,12,42,...,31,0,3,3,1,102,...,15,6,...,1,4,52,...,67,...,...,...,1,...,...,...,...,...,...
November,1903,"Southern counties",651836,...,639,...,96,12,27,...,21,3,4,1,2,60,...,13,4,...,6,2,19,...,39,...,...,...,0,...,...,...,...,...,...
November,1903,Urban,857840,...,1093,...,121,18,31,...,37,0,10,3,0,126,...,13,7,...,7,6,38,...,68,...,...,...,0,...,...,...,...,...,...
November,1903,Rural,1658622,...,1425,...,158,20,74,...,31,4,8,3,6,115,...,22,13,...,4,5,56,...,95,...,...,...,1,...,...,...,...,...,...
November,1903,"Cities, class 1",228171,...,310,...,37,5,8,...,6,0,1,1,0,33,...,6,1,...,0,3,10,...,15,...,...,...,0,...,...,...,...,...,...
November,1903,"Cities, class 2",117787,...,143,...,13,5,4,...,6,0,0,0,0,17,...,2,2,...,0,1,9,...,6,...,...,...,0,...,...,...,...,...,...
November,1903,"Cities, class 3",218623,...,307,...,36,5,8,...,15,0,0,0,0,37,...,3,2,...,1,1,9,...,18,...,...,...,0,...,...,...,...,...,...
November,1903,"Cities, class 4",161751,...,176,...,20,3,4,...,4,0,2,0,0,24,...,1,1,...,1,0,5,...,16,...,...,...,0,...,...,...,...,...,...
November,1903,"Cities, class 5",131508,...,157,...,15,0,7,...,6,0,7,2,0,15,...,1,1,...,5,1,5,...,13,...,...,...,0,...,...,...,...,...,...
December,1903,"Indiana (statewide)",2516462,...,2848,...,337,34,65,...,54,4,34,8,3,392,...,23,34,...,35,10,91,...,153,...,...,...,2,...,...,...,...,...,...
December,1903,"Northern counties",839835,...,988,...,90,7,18,...,23,2,13,0,1,123,...,9,14,...,14,7,33,...,51,...,...,...,0,...,...,...,...,...,...
December,1903,"Central counties",1024791,...,1172,...,138,21,34,...,13,1,13,2,2,169,...,9,10,...,10,0,36,...,60,...,...,...,1,...,...,...,...,...,...
December,1903,"Southern counties",651836,...,688,...,109,6,13,...,18,1,8,6,0,100,...,5,10,...,11,3,22,...,42,...,...,...,1,...,...,...,...,...,...
December,1903,Urban,857840,...,1309,...,163,17,30,...,28,0,11,3,0,200,...,7,15,...,19,3,38,...,68,...,...,...,1,...,...,...,...,...,...
December,1903,Rural,1658622,...,1539,...,174,17,35,...,26,4,23,5,3,192,...,16,19,...,16,7,53,...,85,...,...,...,1,...,...,...,...,...,...
December,1903,"Cities, class 1",228171,...,380,...,49,6,10,...,4,0,3,2,0,59,...,1,1,...,6,1,10,...,21,...,...,...,0,...,...,...,...,...,...
December,1903,"Cities, class 2",117787,...,191,...,16,3,3,...,2,0,3,0,0,33,...,2,0,...,0,1,9,...,13,...,...,...,1,...,...,...,...,...,...
December,1903,"Cities, class 3",218623,...,347,...,34,2,6,...,16,0,2,0,0,58,...,2,8,...,9,1,6,...,20,...,...,...,0,...,...,...,...,...,...
December,1903,"Cities, class 4",161751,...,238,...,41,2,7,...,2,0,1,0,0,28,...,2,5,...,2,0,5,...,9,...,...,...,0,...,...,...,...,...,...
December,1903,"Cities, class 5",131508,...,153,...,23,4,4,...,4,0,2,1,0,22,...,0,1,...,2,0,8,...,5,...,...,...,0,...,...,...,...,...,...
January,1904,"Indiana (statewide)",2516462,...,3177,...,361,37,38,...,45,5,25,38,7,540,...,23,41,...,50,15,103,...,132,...,...,...,8,...,...,...,...,...,...
January,1904,"Northern counties",839835,...,984,...,90,13,13,...,15,2,15,6,1,161,...,6,13,...,17,5,42,...,36,...,...,...,1,...,...,...,...,...,...
January,1904,"Central counties",1024791,...,1383,...,164,14,15,...,15,0,5,18,4,250,...,13,20,...,20,7,42,...,70,...,...,...,4,...,...,...,...,...,...
January,1904,"Southern counties",651836,...,810,...,107,10,10,...,15,3,5,14,2,129,...,4,8,...,13,3,19,...,26,...,...,...,3,...,...,...,...,...,...
January,1904,Urban,857840,...,1369,...,143,20,16,...,23,0,10,9,1,216,...,12,20,...,15,8,33,...,65,...,...,...,3,...,...,...,...,...,...
January,1904,Rural,1658622,...,1808,...,218,17,22,...,22,5,15,29,6,324,...,11,21,...,35,7,70,...,67,...,...,...,5,...,...,...,...,...,...
January,1904,"Cities, class 1",228171,...,393,...,43,7,6,...,5,0,0,6,1,69,...,4,7,...,3,2,12,...,15,...,...,...,0,...,...,...,...,...,...
January,1904,"Cities, class 2",117787,...,176,...,18,2,1,...,4,0,2,0,0,26,...,1,1,...,1,0,8,...,11,...,...,...,3,...,...,...,...,...,...
January,1904,"Cities, class 3",218623,...,360,...,41,4,6,...,7,0,4,2,0,51,...,6,5,...,6,4,8,...,20,...,...,...,0,...,...,...,...,...,...
January,1904,"Cities, class 4",161751,...,247,...,20,4,1,...,3,0,2,0,0,38,...,0,4,...,4,2,3,...,9,...,...,...,0,...,...,...,...,...,...
January,1904,"Cities, class 5",131508,...,193,...,21,3,2,...,4,0,2,1,0,32,...,1,3,...,1,0,2,...,10,...,...,...,0,...,...,...,...,...,...
February,1904,"Indiana (statewide)",2516462,...,3477,...,365,41,60,...,32,3,23,38,4,711,...,31,41,...,116,25,78,...,142,...,...,...,5,...,...,...,...,...,...
February,1904,"Northern counties",839835,...,1106,...,83,11,22,...,15,2,11,5,1,214,...,11,6,...,32,13,23,...,59,...,...,...,1,...,...,...,...,...,...
February,1904,"Central counties",1024791,...,1421,...,151,19,22,...,6,1,7,19,2,267,...,10,19,...,43,10,35,...,63,...,...,...,3,...,...,...,...,...,...
February,1904,"Southern counties",651836,...,950,...,131,11,16,...,11,0,5,14,1,230,...,10,16,...,41,2,20,...,20,...,...,...,1,...,...,...,...,...,...
February,1904,Urban,863340,...,1488,...,156,22,27,...,11,1,9,11,0,286,...,20,19,...,26,9,39,...,80,...,...,...,2,...,...,...,...,...,...
February,1904,Rural,1653122,...,1989,...,209,19,33,...,21,2,14,27,4,425,...,11,22,...,90,16,39,...,62,...,...,...,3,...,...,...,...,...,...
February,1904,"Cities, class 1",228171,...,360,...,36,6,6,...,1,0,3,2,0,82,...,3,2,...,5,1,10,...,20,...,...,...,0,...,...,...,...,...,...
February,1904,"Cities, class 2",117787,...,202,...,13,6,5,...,4,0,1,1,0,38,...,2,1,...,2,2,1,...,17,...,...,...,0,...,...,...,...,...,...
February,1904,"Cities, class 3",218623,...,377,...,44,3,6,...,2,1,2,4,0,63,...,2,3,...,8,1,15,...,18,...,...,...,0,...,...,...,...,...,...
February,1904,"Cities, class 4",167251,...,306,...,35,2,5,...,2,0,1,2,0,56,...,10,4,...,6,3,5,...,16,...,...,...,2,...,...,...,...,...,...
February,1904,"Cities, class 5",131508,...,243,...,28,5,5,...,2,0,2,2,0,47,...,3,9,...,5,2,8,...,9,...,...,...,0,...,...,...,...,...,...
March,1904,"Indiana (statewide)",2516462,...,3860,...,471,61,55,...,23,2,32,46,11,758,...,38,67,...,153,14,99,...,141,...,...,...,3,...,...,...,...,...,...
March,1904,"Northern counties",839835,...,1184,...,126,15,18,...,3,0,18,12,0,199,...,14,14,...,51,5,36,...,46,...,...,...,0,...,...,...,...,...,...
March,1904,"Central counties",1024791,...,1667,...,188,25,21,...,13,1,9,20,3,334,...,17,38,...,75,6,42,...,67,...,...,...,2,...,...,...,...,...,...
March,1904,"Southern counties",651836,...,1009,...,157,21,16,...,7,1,5,14,8,225,...,7,15,...,27,3,21,...,28,...,...,...,1,...,...,...,...,...,...
March,1904,Urban,863340,...,1575,...,189,28,29,...,11,1,19,7,3,296,...,20,29,...,54,6,46,...,63,...,...,...,2,...,...,...,...,...,...
March,1904,Rural,1653122,...,2285,...,282,33,26,...,12,1,13,39,8,462,...,18,38,...,99,8,53,...,78,...,...,...,1,...,...,...,...,...,...
March,1904,"Cities, class 1",228171,...,404,...,49,6,12,...,2,1,1,1,0,79,...,2,4,...,7,2,13,...,22,...,...,...,0,...,...,...,...,...,...
March,1904,"Cities, class 2",117787,...,216,...,22,8,1,...,2,0,5,1,0,43,...,1,5,...,7,1,4,...,7,...,...,...,0,...,...,...,...,...,...
March,1904,"Cities, class 3",218623,...,395,...,41,4,5,...,6,0,3,3,1,81,...,4,4,...,11,0,13,...,12,...,...,...,1,...,...,...,...,...,...
March,1904,"Cities, class 4",167251,...,325,...,48,6,8,...,1,0,6,1,1,54,...,5,8,...,14,2,10,...,12,...,...,...,1,...,...,...,...,...,...
March,1904,"Cities, class 5",131508,...,235,...,29,4,3,...,0,0,4,1,1,39,...,8,8,...,15,1,6,...,10,...,...,...,0,...,...,...,...,...,...
April,1904,"Indiana (statewide)",2656404,...,3322,...,385,50,56,...,30,3,21,40,14,557,...,23,41,...,72,24,89,...,134,...,...,...,6,...,...,...,...,...,...
April,1904,"Northern counties",889376,...,1030,...,88,12,16,...,12,0,11,5,5,164,...,7,10,...,19,11,35,...,47,...,...,...,1,...,...,...,...,...,...
April,1904,"Central counties",1093418,...,1404,...,169,22,29,...,8,2,5,17,5,222,...,5,20,...,29,5,34,...,52,...,...,...,2,...,...,...,...,...,...
April,1904,"Southern counties",673610,...,888,...,128,16,11,...,10,1,5,18,4,171,...,11,11,...,24,8,20,...,35,...,...,...,3,...,...,...,...,...,...
April,1904,Urban,918283,...,1450,...,164,32,32,...,15,1,8,14,3,236,...,10,17,...,23,6,45,...,60,...,...,...,3,...,...,...,...,...,...
April,1904,Rural,1738121,...,1872,...,221,18,24,...,15,2,13,26,11,321,...,13,24,...,49,18,44,...,74,...,...,...,3,...,...,...,...,...,...
April,1904,"Cities, class 1",252515,...,398,...,51,11,10,...,3,1,0,2,1,55,...,1,4,...,4,0,15,...,18,...,...,...,0,...,...,...,...,...,...
April,1904,"Cities, class 2",126969,...,207,...,14,5,2,...,2,0,1,4,1,36,...,1,4,...,1,0,7,...,8,...,...,...,3,...,...,...,...,...,...
April,1904,"Cities, class 3",235662,...,375,...,40,8,10,...,7,0,5,2,0,58,...,3,6,...,4,1,14,...,15,...,...,...,0,...,...,...,...,...,...
April,1904,"Cities, class 4",174500,...,288,...,31,6,7,...,1,0,1,5,0,55,...,3,1,...,8,2,6,...,13,...,...,...,0,...,...,...,...,...,...
April,1904,"Cities, class 5",128637,...,182,...,28,2,3,...,2,0,1,1,1,32,...,2,2,...,6,3,3,...,6,...,...,...,0,...,...,...,...,...,...
May,1904,"Indiana (statewide)",2656404,...,2971,...,415,56,49,...,20,4,14,34,5,319,...,31,34,...,17,17,96,...,150,...,...,...,6,...,...,...,...,...,...
May,1904,"Northern counties",889376,...,917,...,103,14,7,...,4,2,5,11,2,97,...,13,13,...,6,9,22,...,30,...,...,...,1,...,...,...,...,...,...
May,1904,"Central counties",1093418,...,1286,...,181,30,34,...,10,1,3,9,2,141,...,11,10,...,7,6,42,...,79,...,...,...,1,...,...,...,...,...,...
May,1904,"Southern counties",673610,...,768,...,131,12,8,...,6,1,6,14,1,81,...,7,11,...,4,2,32,...,41,...,...,...,4,...,...,...,...,...,...
May,1904,Urban,918283,...,1386,...,175,22,34,...,13,1,6,8,2,147,...,14,10,...,7,7,44,...,72,...,...,...,3,...,...,...,...,...,...
May,1904,Rural,1738121,...,1585,...,240,34,15,...,7,3,8,26,3,172,...,17,24,...,10,10,52,...,78,...,...,...,3,...,...,...,...,...,...
May,1904,"Cities, class 1",252515,...,316,...,48,2,23,...,8,0,1,0,0,42,...,2,5,...,2,0,11,...,15,...,...,...,0,...,...,...,...,...,...
May,1904,"Cities, class 2",126969,...,181,...,14,1,0,...,0,0,0,0,1,22,...,2,1,...,1,1,5,...,11,...,...,...,0,...,...,...,...,...,...
May,1904,"Cities, class 3",235662,...,333,...,46,9,6,...,3,0,1,2,1,29,...,5,1,...,1,3,12,...,19,...,...,...,0,...,...,...,...,...,...
May,1904,"Cities, class 4",174500,...,246,...,37,6,2,...,2,1,2,2,0,23,...,3,2,...,2,3,10,...,16,...,...,...,3,...,...,...,...,...,...
May,1904,"Cities, class 5",128637,...,210,...,30,4,3,...,0,0,2,4,0,31,...,2,1,...,1,0,6,...,11,...,...,...,0,...,...,...,...,...,...
June,1904,"Indiana (statewide)",2656404,...,2203,...,317,44,49,...,15,1,9,10,6,106,...,53,14,...,10,11,71,...,125,...,...,...,3,...,...,...,...,...,...
June,1904,"Northern counties",889376,...,651,...,90,8,11,...,5,0,4,1,2,25,...,19,3,...,2,2,26,...,32,...,...,...,0,...,...,...,...,...,...
June,1904,"Central counties",1093418,...,951,...,135,26,29,...,6,0,4,4,1,44,...,15,4,...,8,4,34,...,55,...,...,...,0,...,...,...,...,...,...
June,1904,"Southern counties",673610,...,601,...,92,10,9,...,4,1,1,5,3,37,...,19,7,...,0,5,11,...,38,...,...,...,3,...,...,...,...,...,...
June,1904,Urban,922372,...,1029,...,134,17,35,...,12,0,7,5,2,39,...,35,5,...,2,2,30,...,61,...,...,...,3,...,...,...,...,...,...
June,1904,Rural,1734032,...,1174,...,183,27,14,...,3,1,2,5,4,67,...,18,9,...,8,9,41,...,64,...,...,...,0,...,...,...,...,...,...
June,1904,"Cities, class 1",252515,...,285,...,42,5,16,...,4,0,0,0,1,11,...,6,2,...,0,0,13,...,17,...,...,...,0,...,...,...,...,...,...
June,1904,"Cities, class 2",126969,...,148,...,14,6,2,...,0,0,2,1,1,4,...,10,1,...,0,0,4,...,9,...,...,...,0,...,...,...,...,...,...
June,1904,"Cities, class 3",235662,...,279,...,32,4,10,...,8,0,3,0,0,6,...,9,1,...,1,2,6,...,18,...,...,...,0,...,...,...,...,...,...
June,1904,"Cities, class 4",182000,...,198,...,28,1,4,...,0,0,1,2,0,12,...,8,1,...,0,0,3,...,12,...,...,...,3,...,...,...,...,...,...
June,1904,"Cities, class 5",125226,...,119,...,18,1,3,...,0,0,1,2,0,6,...,2,0,...,1,0,4,...,5,...,...,...,0,...,...,...,...,...,...
July,1904,"Indiana (statewide)",2656404,...,2772,...,346,44,68,...,8,2,5,4,6,85,...,296,29,...,5,10,116,...,189,...,...,...,5,...,...,...,...,...,...
July,1904,"Northern counties",889376,...,792,...,91,16,11,...,4,1,0,1,3,27,...,39,5,...,2,5,35,...,63,...,...,...,2,...,...,...,...,...,...
July,1904,"Central counties",1093418,...,1160,...,147,17,36,...,3,1,1,2,2,32,...,114,16,...,2,3,46,...,82,...,...,...,0,...,...,...,...,...,...
July,1904,"Southern counties",673610,...,820,...,108,11,21,...,1,0,4,1,1,26,...,143,8,...,1,2,35,...,44,...,...,...,3,...,...,...,...,...,...
July,1904,Urban,922372,...,1262,...,147,15,38,...,5,1,1,2,4,39,...,147,15,...,1,4,56,...,95,...,...,...,2,...,...,...,...,...,...
July,1904,Rural,1734032,...,1510,...,199,29,30,...,3,1,4,2,2,46,...,149,14,...,4,6,60,...,94,...,...,...,3,...,...,...,...,...,...
July,1904,"Cities, class 1",252515,...,398,...,40,4,20,...,1,0,0,0,0,17,...,53,3,...,0,0,15,...,29,...,...,...,0,...,...,...,...,...,...
July,1904,"Cities, class 2",126969,...,166,...,13,1,3,...,0,0,0,0,1,5,...,23,5,...,0,0,6,...,16,...,...,...,0,...,...,...,...,...,...
July,1904,"Cities, class 3",235662,...,293,...,43,4,7,...,0,0,0,0,1,11,...,31,3,...,0,3,15,...,21,...,...,...,0,...,...,...,...,...,...
July,1904,"Cities, class 4",182000,...,237,...,23,3,8,...,2,1,1,1,2,5,...,27,3,...,0,1,11,...,18,...,...,...,2,...,...,...,...,...,...
July,1904,"Cities, class 5",125226,...,168,...,28,3,0,...,2,0,0,1,0,1,...,13,1,...,1,0,9,...,11,...,...,...,0,...,...,...,...,...,...
August,1904,"Indiana (statewide)",2656404,...,2980,...,303,61,100,...,14,1,6,4,10,61,...,473,34,...,4,13,103,...,175,...,...,...,3,...,...,...,...,...,...
August,1904,"Northern counties",889376,...,888,...,91,13,18,...,4,0,1,3,2,20,...,123,8,...,0,6,40,...,56,...,...,...,2,...,...,...,...,...,...
August,1904,"Central counties",1093418,...,1257,...,127,25,47,...,1,0,2,0,1,25,...,189,13,...,3,4,41,...,77,...,...,...,0,...,...,...,...,...,...
August,1904,"Southern counties",673610,...,835,...,85,23,35,...,9,1,3,1,7,16,...,161,13,...,1,3,22,...,42,...,...,...,1,...,...,...,...,...,...
August,1904,Urban,922372,...,1292,...,124,27,42,...,7,0,1,2,4,17,...,229,17,...,1,1,34,...,91,...,...,...,2,...,...,...,...,...,...
August,1904,Rural,1734032,...,1688,...,179,34,58,...,7,1,5,2,6,44,...,244,17,...,3,12,69,...,84,...,...,...,1,...,...,...,...,...,...
August,1904,"Cities, class 1",252515,...,329,...,25,7,19,...,3,0,0,0,2,6,...,43,6,...,0,1,10,...,24,...,...,...,0,...,...,...,...,...,...
August,1904,"Cities, class 2",126969,...,160,...,12,5,4,...,1,0,0,0,0,3,...,25,5,...,0,0,10,...,10,...,...,...,0,...,...,...,...,...,...
August,1904,"Cities, class 3",235662,...,332,...,43,7,11,...,0,0,0,1,2,3,...,70,1,...,0,0,7,...,22,...,...,...,0,...,...,...,...,...,...
August,1904,"Cities, class 4",182000,...,285,...,21,4,5,...,3,0,0,0,0,4,...,55,2,...,0,0,7,...,24,...,...,...,2,...,...,...,...,...,...
August,1904,"Cities, class 5",125226,...,186,...,23,4,3,...,0,0,1,1,0,1,...,36,3,...,1,0,0,...,11,...,...,...,0,...,...,...,...,...,...
September,1904,"Indiana (statewide)",2656404,...,2658,...,287,44,137,...,12,0,6,2,7,73,...,319,34,...,1,13,115,...,146,...,...,...,12,...,...,...,...,...,...
September,1904,"Northern counties",889376,...,884,...,90,10,35,...,3,0,2,1,0,30,...,115,20,...,0,2,44,...,51,...,...,...,0,...,...,...,...,...,...
September,1904,"Central counties",1093418,...,1152,...,117,27,63,...,7,0,0,0,3,28,...,112,9,...,1,6,55,...,69,...,...,...,12,...,...,...,...,...,...
September,1904,"Southern counties",673610,...,622,...,80,7,39,...,2,0,4,1,4,15,...,92,5,...,0,5,16,...,26,...,...,...,0,...,...,...,...,...,...
September,1904,Urban,922372,...,1192,...,124,16,63,...,7,0,2,1,5,37,...,122,10,...,0,4,52,...,85,...,...,...,10,...,...,...,...,...,...
September,1904,Rural,1734032,...,1466,...,163,28,74,...,5,0,4,1,2,36,...,197,24,...,1,9,63,...,61,...,...,...,2,...,...,...,...,...,...
September,1904,"Cities, class 1",252515,...,312,...,36,3,13,...,2,0,0,0,2,12,...,16,0,...,0,1,11,...,23,...,...,...,0,...,...,...,...,...,...
September,1904,"Cities, class 2",126969,...,184,...,13,3,9,...,1,0,0,0,0,5,...,23,0,...,0,1,7,...,14,...,...,...,10,...,...,...,...,...,...
September,1904,"Cities, class 3",235662,...,298,...,30,3,15,...,4,0,2,0,1,10,...,35,3,...,0,0,14,...,25,...,...,...,0,...,...,...,...,...,...
September,1904,"Cities, class 4",182000,...,248,...,31,6,18,...,0,0,0,0,2,9,...,33,4,...,0,1,8,...,9,...,...,...,0,...,...,...,...,...,...
September,1904,"Cities, class 5",125226,...,150,...,14,1,8,...,0,0,0,1,0,1,...,15,3,...,0,1,12,...,14,...,...,...,0,...,...,...,...,...,...
October,1904,"Indiana (statewide)",2656404,...,2702,...,292,42,164,...,17,0,11,2,16,113,...,204,23,...,4,6,103,...,148,...,...,...,18,...,...,...,...,...,...
October,1904,"Northern counties",889376,...,860,...,83,10,32,...,7,0,4,1,6,36,...,67,9,...,1,3,39,...,52,...,...,...,1,...,...,...,...,...,...
October,1904,"Central counties",1093418,...,1133,...,119,19,76,...,6,0,2,1,5,36,...,77,8,...,2,1,37,...,57,...,...,...,10,...,...,...,...,...,...
October,1904,"Southern counties",673610,...,709,...,90,13,56,...,4,0,5,0,5,41,...,60,6,...,1,2,27,...,39,...,...,...,7,...,...,...,...,...,...
October,1904,Urban,922372,...,1211,...,130,22,65,...,9,0,3,1,6,46,...,75,7,...,1,4,51,...,72,...,...,...,10,...,...,...,...,...,...
October,1904,Rural,1734032,...,1491,...,162,20,99,...,8,0,8,1,10,67,...,129,16,...,3,2,52,...,76,...,...,...,8,...,...,...,...,...,...
October,1904,"Cities, class 1",252515,...,283,...,27,7,12,...,3,0,0,0,0,18,...,14,0,...,1,1,10,...,13,...,...,...,0,...,...,...,...,...,...
October,1904,"Cities, class 2",126969,...,182,...,18,3,6,...,3,0,0,0,1,5,...,9,2,...,0,1,13,...,10,...,...,...,7,...,...,...,...,...,...
October,1904,"Cities, class 3",235662,...,313,...,34,7,18,...,3,0,2,1,2,5,...,25,1,...,0,2,7,...,20,...,...,...,0,...,...,...,...,...,...
October,1904,"Cities, class 4",182000,...,270,...,26,2,18,...,0,0,1,0,2,11,...,16,4,...,0,0,11,...,24,...,...,...,3,...,...,...,...,...,...
October,1904,"Cities, class 5",125226,...,163,...,25,3,11,...,0,0,0,0,1,7,...,11,0,...,0,0,10,...,5,...,...,...,0,...,...,...,...,...,...
November,1904,"Indiana (statewide)",2656404,...,2566,...,306,31,141,...,30,2,17,0,7,229,...,44,22,...,16,8,103,...,163,...,...,...,12,...,...,...,...,...,...
November,1904,"Northern counties",889376,...,744,...,75,10,34,...,4,0,5,0,2,67,...,16,4,...,3,2,37,...,52,...,...,...,0,...,...,...,...,...,...
November,1904,"Central counties",1093418,...,1122,...,142,14,61,...,11,2,3,0,2,88,...,16,10,...,4,3,39,...,78,...,...,...,4,...,...,...,...,...,...
