Month,Year,Region,Population,"Pulmonary Tuberculosis","Other Forms, Tuberculosis","Typhoid Fever","Diptheria and Croup",Diptheria,Croup,"Scarlet Fever",Measles,"Whooping Cough",Pneumonia,"Diarrhea and Enteritis, Under 2 Years","Diarrheal Diseases, Under 5 Years","Cerebro-Spinal Fever",Poliomyelitis,Influenza,"Puerperal Septicemia",Cancer,"External Causes",Violence,Smallpox
December,1916,"Cities, class 4",152429,9,3,2,1,...,...,0,1,0,17,2,...,0,0,2,1,7,13,...,0
December,1916,"Cities, class 5",303296,22,5,5,8,...,...,1,1,1,28,5,...,0,0,6,4,25,24,...,0
January,1917,"Indiana (statewide)",2889615,292,38,35,46,...,...,13,32,23,607,46,...,2,4,110,18,213,204,...,2
January,1917,"Northern counties",1009364,81,13,17,7,...,...,6,5,4,216,23,...,2,0,39,3,81,86,...,1
January,1917,"Central counties",1191458,116,18,8,31,...,...,4,14,2,266,15,...,0,3,48,9,90,79,...,1
January,1917,"Southern counties",688793,95,7,10,8,...,...,3,13,17,125,8,...,0,1,23,6,42,39,...,0
January,1917,Urban,1335134,141,21,19,25,...,...,7,11,5,307,32,...,1,1,47,9,109,122,...,1
January,1917,Rural,1554481,151,17,16,21,...,...,6,21,18,300,14,...,1,3,63,9,104,82,...,1
January,1917,"Cities, class 1",272338,25,6,2,9,...,...,1,1,0,64,3,...,0,0,5,3,25,19,...,0
January,1917,"Cities, class 2",289143,34,4,6,2,...,...,4,1,2,50,4,...,0,0,10,3,20,32,...,1
January,1917,"Cities, class 3",311158,28,4,6,7,...,...,2,2,1,94,15,...,1,0,10,2,16,36,...,0
January,1917,"Cities, class 4",155949,16,1,0,3,...,...,0,2,0,27,2,...,0,1,4,1,18,14,...,0
January,1917,"Cities, class 5",306546,38,6,5,4,...,...,0,5,2,72,8,...,0,0,18,0,30,21,...,0
February,1917,"Indiana (statewide)",2889615,314,48,25,31,...,...,16,74,20,657,39,...,1,2,174,21,211,210,...,0
February,1917,"Northern counties",1009364,74,12,16,7,...,...,9,22,7,236,24,...,0,1,45,6,82,77,...,0
February,1917,"Central counties",1191458,157,23,4,18,...,...,6,36,3,259,13,...,0,1,60,11,74,87,...,0
February,1917,"Southern counties",688793,83,13,5,6,...,...,1,16,10,162,2,...,1,0,69,4,55,46,...,0
February,1917,Urban,1335134,162,32,18,16,...,...,11,19,6,321,26,...,0,1,55,10,112,149,...,0
February,1917,Rural,1554481,152,16,7,15,...,...,5,55,14,336,13,...,1,1,119,11,99,61,...,0
February,1917,"Cities, class 1",272338,41,7,0,8,...,...,0,5,2,75,2,...,0,0,8,1,22,36,...,0
February,1917,"Cities, class 2",289143,29,8,3,3,...,...,6,0,1,68,2,...,0,0,13,1,25,30,...,0
February,1917,"Cities, class 3",311158,41,4,8,2,...,...,1,5,2,106,15,...,0,0,8,6,20,48,...,0
February,1917,"Cities, class 4",155949,19,5,1,1,...,...,1,2,0,25,2,...,0,0,6,0,12,12,...,0
February,1917,"Cities, class 5",306546,32,8,6,2,...,...,3,7,1,47,5,...,0,1,20,2,33,23,...,0
March,1917,"Indiana (statewide)",2889615,360,48,22,31,...,...,16,141,22,597,69,...,11,1,99,20,238,272,...,1
March,1917,"Northern counties",1009364,100,13,13,5,...,...,10,22,9,252,34,...,2,0,21,7,98,95,...,0
March,1917,"Central counties",1191458,154,26,4,14,...,...,4,67,2,220,26,...,8,1,41,8,100,104,...,0
March,1917,"Southern counties",688793,106,9,5,12,...,...,2,52,11,125,9,...,1,0,37,5,40,73,...,1
March,1917,Urban,1335134,205,29,13,18,...,...,8,59,10,328,40,...,6,1,31,15,134,175,...,0
March,1917,Rural,1554481,155,19,9,13,...,...,8,82,12,269,29,...,5,0,68,5,104,97,...,1
March,1917,"Cities, class 1",272338,48,5,1,6,...,...,0,11,0,64,6,...,4,0,4,3,25,20,...,0
March,1917,"Cities, class 2",289143,57,3,2,5,...,...,3,9,1,65,1,...,1,1,2,5,23,23,...,0
March,1917,"Cities, class 3",311158,41,12,7,1,...,...,3,15,5,105,25,...,1,0,7,4,39,82,...,0
March,1917,"Cities, class 4",155949,17,4,1,2,...,...,0,12,3,38,2,...,0,0,5,2,14,29,...,0
