Month,Year,Region,Population,Pulmonary Tuberculosis,"Other Forms, Tuberculosis",Typhoid Fever,Diptheria and Croup,Scarlet Fever,Measles,Whooping Cough,Lobar and Broncho Pneumonia,"Diarrhea and Enteritis, Under 2 Years",Cerebro-Spinal Fever,Acute Anterior Poliomyelitis,Influenza,Puerperal Septicemia,Cancer,External Causes,Smallpox
September,1919,"Under 10,000",135780,8,2,3,,,,,4,10,,,3,,9,12
September,1919,Country,1701179,92,14,29,5,,,1,30,77,2,3,9,7,101,85
October,1919,State,2948088,174,37,40,28,4,1,3,116,156,1,7,27,11,195,182
October,1919,Northern counties,1042514,42,7,22,10,,1,2,43,65,,2,14,1,67,69
October,1919,Central counties,1219131,82,18,10,10,3,,1,52,74,1,4,11,8,85,79
October,1919,Southern counties,686443,50,12,8,8,1,,,21,17,,1,2,2,43,34
October,1919,All cities,1246909,78,14,20,17,2,1,2,63,87,1,2,10,8,86,102
October,1919,"Over 100,000",300000,26,2,2,2,,,,10,18,1,1,2,3,25,23
October,1919,"45,000 to 100,000",355257,16,1,5,5,,1,,19,26,,,1,2,17,27
October,1919,"20,000 to 45,000",290018,18,5,5,8,1,,1,22,28,,1,4,3,21,29,
October,1919,"10,000 to 20,000",165854,11,3,5,2,,,1,9,11,,,1,,14,13,
October,1919,"Under 10,000",135780,7,3,3,,1,,,3,4,,,2,,9,10,
October,1919,Country,1701179,96,23,20,11,2,,1,53,69,,5,17,3,109,80,
November,1919,State,2948088,167,32,49,43,4,4,3,167,78,2,2,32,18,192,179,2
November,1919,Northern counties,1042514,38,9,24,16,1,3,2,71,35,,1,11,10,68,62,
November,1919,Central counties,1219131,71,13,17,18,2,1,1,61,23,1,,14,6,83,82,1
November,1919,Southern counties,686443,58,10,8,9,1,,,35,20,1,1,7,2,41,35,1
November,1919,All cities,1246909,70,15,18,29,2,3,3,91,43,1,,12,13,87,90,1
November,1919,"Over 100,000",300000,21,2,5,5,1,,1,14,7,,,,1,26,25,
November,1919,"45,000 to 100,000",355257,26,6,1,9,,,1,32,11,,,2,4,27,16,
November,1919,"20,000 to 45,000",290018,11,3,6,11,1,1,1,30,13,1,,6,5,14,33,
November,1919,"10,000 to 20,000",165854,6,1,5,,,1,,6,6,,,2,3,15,10,
November,1919,"Under 10,000",135780,6,3,1,4,,1,,9,6,,,2,,5,6,
November,1919,Country,1701179,97,17,31,14,2,1,,76,35,1,2,20,5,105,89,1
December,1919,State,2948088,212,39,14,36,9,5,9,326,31,,1,33,17,216,175,31
December,1919,Northern counties,1042514,68,12,5,12,3,2,8,123,19,,,12,5,68,61,22
December,1919,Central counties,1219131,92,19,7,14,4,2,,137,7,,1,11,8,98,78,
December,1919,Southern counties,686443,52,8,2,10,2,1,1,69,5,,,10,4,50,36,11
December,1919,All cities,1246909,97,20,3,21,4,3,5,177,20,,,14,9,96,89,1
December,1919,"Over 100,000",300000,25,6,,5,1,,,41,5,,,5,4,24,18,
December,1919,"45,000 to 100,000",355257,28,3,2,8,1,,1,55,4,,,3,1,26,31,13
December,1919,"20,000 to 45,000",290018,24,6,1,4,1,1,4,53,6,,,4,3,22,22,
December,1919,"10,000 to 20,000",165854,10,4,,3,,2,,17,2,,,2,,12,6,
December,1919,"Under 10,000",135780,10,1,,1,1,,,11,3,,,,1,12,12,
December,1919,Country,1701179,115,19,11,15,5,2,4,152,11,,1,19,8,120,86,21
January,1920,State,2948088,243,42,15,41,16,15,12,602,46,,1,290,16,240,173,1
January,1920,Northern counties,1042514,86,18,3,10,9,4,3,297,19,,1,218,8,105,79,
January,1920,Central counties,1219131,95,15,6,20,3,8,3,210,23,,,56,6,93,57,
January,1920,Southern counties,686443,62,9,6,11,4,3,6,95,4,,,16,2,42,37,1
January,1920,All cities,1246909,120,24,7,25,4,7,6,340,36,,,186,7,108,92,
January,1920,"Over 100,000",300000,26,3,2,4,,,1,79,12,,,16,3,34,19,
January,1920,"45,000 to 100,000",355257,36,12,1,9,1,,1,109,7,,,87,2,25,32,
January,1920,"20,000 to 45,000",290018,32,4,3,6,1,2,2,93,10,,,54,,28,24,
January,1920,"10,000 to 20,000",165854,13,2,,3,1,2,1,37,3,,,20,1,14,12,
January,1920,"Under 10,000",135780,13,3,1,3,1,3,1,22,4,,,9,1,7,5,
January,1920,Country,1701179,123,18,8,16,12,8,6,262,10,,,104,9,132,81,
February,1920,State,2948088,319,38,19,25,37,41,17,1226,41,2,,1232,26,202,145,2
February,1920,Northern counties,1042514,94,8,10,9,13,12,5,428,17,1,,500,10,75,55,1
